"lats","longs","bathy_m"
32.54,-120.96,-3662.39708630785
32.56,-120.96,-3745.21722303908
32.58,-120.96,-3783.12633584934
32.6,-120.96,-3781.91925538753
32.62,-120.96,-3790.71650135138
32.64,-120.96,-3801.10621583936
32.66,-120.96,-3801
32.68,-120.96,-3801
32.7,-120.96,-3805
32.72,-120.96,-3808.60438243964
32.74,-120.96,-3812.24027902995
32.76,-120.96,-3813.12933035309
32.78,-120.96,-3811.74339944971
32.8,-120.96,-3805.59338659537
32.82,-120.96,-3803.79646550273
32.84,-120.96,-3796.8525118596
32.86,-120.96,-3758.6569327578
32.88,-120.96,-3712.6079205132
32.9,-120.96,-3705.34251382493
32.92,-120.96,-3671.15809507364
32.94,-120.96,-3037.05043293909
32.96,-120.96,-2717.37613604094
32.98,-120.96,-2337.17218223701
33,-120.96,-2095.19106444089
33.02,-120.96,-1655.15967015827
33.04,-120.96,-1169.96195191964
33.06,-120.96,-1105.21142360852
33.08,-120.96,-914.515191333979
33.1,-120.96,-745.772298983237
33.12,-120.96,-869.349142217516
33.14,-120.96,-1469.70923343605
33.16,-120.96,-1859.15771370128
33.18,-120.96,-2053.32694764674
33.2,-120.96,-2383.30295316905
33.22,-120.96,-2727.6384160211
33.24,-120.96,-2798.18147066246
33.26,-120.96,-2503.51283262131
33.28,-120.96,-2507.60360991565
33.3,-120.96,-2882.42225768338
33.32,-120.96,-2849.22184707606
33.34,-120.96,-2989.57205760016
33.36,-120.96,-3270.12673333893
33.38,-120.96,-3230.83535828814
33.4,-120.96,-3385.21216966236
33.42,-120.96,-3592.78562798937
33.44,-120.96,-3609.75972701913
33.46,-120.96,-3612
33.48,-120.96,-3601.89116601524
33.5,-120.96,-3580.71920422314
33.52,-120.96,-3572.76634166756
33.54,-120.96,-3598.10781828855
33.56,-120.96,-3557.04058143903
33.58,-120.96,-3477.06363619627
33.6,-120.96,-3488.03577858471
33.62,-120.96,-3497.47389634638
33.64,-120.96,-3488.86878280016
33.66,-120.96,-3441.95332065094
33.68,-120.96,-3404.19176756556
33.7,-120.96,-3344.70255640967
33.72,-120.96,-3174.95426159576
33.74,-120.96,-3039.58201583871
33.76,-120.96,-2936.50695326286
33.78,-120.96,-2885.14646270922
33.8,-120.96,-2837.31813292297
33.82,-120.96,-2733.71510594178
33.84,-120.96,-2635.70159676593
33.86,-120.96,-2556.31984117904
33.88,-120.96,-2482.54737651722
33.9,-120.96,-2434.66495019224
33.92,-120.96,-2367.90047580886
33.94,-120.96,-2272.98183934646
33.96,-120.96,-2197.16137288773
33.98,-120.96,-2144.50845075776
34,-120.96,-2099.33760032396
34.02,-120.96,-2007.9527767924
34.04,-120.96,-1611.40105178648
34.06,-120.96,-1416.04266594758
34.08,-120.96,-1215.74830194474
34.1,-120.96,-1234.44237158493
34.12,-120.96,-1086.93866200994
34.14,-120.96,-1043.62044097298
34.16,-120.96,-1021.93584293015
34.18,-120.96,-995.209595300446
34.2,-120.96,-974.358941183383
34.22,-120.96,-974.529851012375
34.24,-120.96,-1001.41458694748
34.26,-120.96,-1003.41687316096
34.28,-120.96,-1027.2563174604
34.3,-120.96,-1054.64490128249
34.32,-120.96,-1066.81403840504
34.34,-120.96,-1082.94669636147
34.36,-120.96,-1099.15324663782
34.38,-120.96,-1115.67788829574
34.4,-120.96,-1052.75563182846
34.42,-120.96,-1008.44434280993
34.44,-120.96,-967.331999754847
34.46,-120.96,-895.16611716577
34.48,-120.96,-876.18098578786
34.5,-120.96,-826.270175087327
34.52,-120.96,-773.301899730572
34.54,-120.96,-699.701642785799
34.56,-120.96,-667.762076442852
34.58,-120.96,-612.706281364765
34.6,-120.96,-557.459741185168
34.62,-120.96,-518.704533426245
34.64,-120.96,-481.157612567458
34.66,-120.96,-443.587499979204
34.68,-120.96,-407.638961648887
34.7,-120.96,-385.106018770849
34.72,-120.96,-365.57830218085
34.74,-120.96,-353.101609291069
34.76,-120.96,-344.546210595106
34.78,-120.96,-339.980159845352
34.8,-120.96,-336.747270188139
34.82,-120.96,-332.733084464208
34.84,-120.96,-330.857540430073
34.86,-120.96,-330.340289825288
34.88,-120.96,-334.895310313672
34.9,-120.96,-342.431182362086
34.92,-120.96,-346.986285861207
34.94,-120.96,-351.490792965666
34.96,-120.96,-352.934648728161
34.98,-120.96,-352.378495138783
35,-120.96,-343.918641279056
32,-120.94,NA
32.02,-120.94,NA
32.04,-120.94,NA
32.06,-120.94,NA
32.08,-120.94,NA
32.1,-120.94,NA
32.12,-120.94,-3898
32.14,-120.94,-3900
32.16,-120.94,-3885.57764420769
32.18,-120.94,-3850.52335924483
32.2,-120.94,-3818.81934364533
32.22,-120.94,-3801.52563355064
32.24,-120.94,-3761.50686096672
32.26,-120.94,-3712.13343674442
32.28,-120.94,-3697.06259874271
32.3,-120.94,-3690.86698200056
32.32,-120.94,-3694.1610176492
32.34,-120.94,-3709.98054280715
32.36,-120.94,-3748.51134948885
32.38,-120.94,-3754.73159387662
32.4,-120.94,-3721.08017900054
32.42,-120.94,-3698.50528560143
32.44,-120.94,-3721.45963762457
32.46,-120.94,-3696.00682922012
32.48,-120.94,-3661.95797331711
32.5,-120.94,-3634.75363754217
32.52,-120.94,-3694.59438891264
32.54,-120.94,-3788.44260902016
32.56,-120.94,-3806.1560778996
32.58,-120.94,-3807.81738765285
32.6,-120.94,-3799.72508028939
32.62,-120.94,-3800.79571111505
32.64,-120.94,-3804
32.66,-120.94,-3803.92515503102
32.68,-120.94,-3803.9266331889
32.7,-120.94,-3805
32.72,-120.94,-3806
32.74,-120.94,-3806.54732877603
32.76,-120.94,-3802.91788593205
32.78,-120.94,-3800.60919796183
32.8,-120.94,-3799
32.82,-120.94,-3796.19001325575
32.84,-120.94,-3780.21851404377
32.86,-120.94,-3742.91532083901
32.88,-120.94,-3702.95826010651
32.9,-120.94,-3687.77733445698
32.92,-120.94,-3618.88888542806
32.94,-120.94,-2963.03191767632
32.96,-120.94,-2608.83062241395
32.98,-120.94,-2470.92015983528
33,-120.94,-2353.70069178977
33.02,-120.94,-2097.16830005793
33.04,-120.94,-1883.64194830019
33.06,-120.94,-1686.46472483084
33.08,-120.94,-1390.81931808368
33.1,-120.94,-1241.86552568769
33.12,-120.94,-1105.89126321515
33.14,-120.94,-1406.61125054908
33.16,-120.94,-1536.2624063166
33.18,-120.94,-1612.82288133494
33.2,-120.94,-2256.74676146312
33.22,-120.94,-2528.34471640842
33.24,-120.94,-2670.00151848788
33.26,-120.94,-2773.52420991914
33.28,-120.94,-2572.18963584149
33.3,-120.94,-2922.86257591295
33.32,-120.94,-3002.28411681287
33.34,-120.94,-3166.18968398489
33.36,-120.94,-3413.2542435805
33.38,-120.94,-3380.07980773159
33.4,-120.94,-3305.32023620687
33.42,-120.94,-3516.52554574563
33.44,-120.94,-3609.14265202317
33.46,-120.94,-3611
33.48,-120.94,-3602.93885081395
33.5,-120.94,-3594.36656128124
33.52,-120.94,-3592.53969805597
33.54,-120.94,-3599
33.56,-120.94,-3580.33112405635
33.58,-120.94,-3549.66350472639
33.6,-120.94,-3533.25095748411
33.62,-120.94,-3489.81546654747
33.64,-120.94,-3491.68715226612
33.66,-120.94,-3471.26877420651
33.68,-120.94,-3392.35133888457
33.7,-120.94,-3168.00931472184
33.72,-120.94,-2942.57937001275
33.74,-120.94,-2898.73202825763
33.76,-120.94,-2758.54761117939
33.78,-120.94,-2682.33988533396
33.8,-120.94,-2563.21114374532
33.82,-120.94,-2577.73686698709
33.84,-120.94,-2609.2762107424
33.86,-120.94,-2554.02279885683
33.88,-120.94,-2465.58025062511
33.9,-120.94,-2382.12482669574
33.92,-120.94,-2300.5432190076
33.94,-120.94,-2246.74348755611
33.96,-120.94,-2201.96298278741
33.98,-120.94,-2102.44591568449
34,-120.94,-2078.39085470409
34.02,-120.94,-1932.93640943872
34.04,-120.94,-1554.92459103891
34.06,-120.94,-1314.53244804888
34.08,-120.94,-1183.58957059106
34.1,-120.94,-1087.11690596739
34.12,-120.94,-1011.22647110061
34.14,-120.94,-1014.73007357578
34.16,-120.94,-996.768376047333
34.18,-120.94,-961.325186899809
34.2,-120.94,-934.25768878835
34.22,-120.94,-926.100138895236
34.24,-120.94,-952.741852539425
34.26,-120.94,-972.41077398347
34.28,-120.94,-998.544390764395
34.3,-120.94,-1015.95063050195
34.32,-120.94,-1025.51887631237
34.34,-120.94,-1036.95942875524
34.36,-120.94,-1058.61934588336
34.38,-120.94,-1090.57821962047
34.4,-120.94,-983.957062051407
34.42,-120.94,-935.552305574742
34.44,-120.94,-907.390092351201
34.46,-120.94,-875.889358767152
34.48,-120.94,-796.279116762601
34.5,-120.94,-743.283061733308
34.52,-120.94,-695.697853396535
34.54,-120.94,-649.721356994053
34.56,-120.94,-626.213063736796
34.58,-120.94,-556.673930931037
34.6,-120.94,-513.200713645668
34.62,-120.94,-461.636015226859
34.64,-120.94,-426.168456147146
34.66,-120.94,-401.185566812979
34.68,-120.94,-364.40645010846
34.7,-120.94,-338.900595619084
34.72,-120.94,-319.367617437672
34.74,-120.94,-309.727214282888
34.76,-120.94,-301.655232363091
34.78,-120.94,-297.230495263606
34.8,-120.94,-297.712292186978
34.82,-120.94,-294.596025339426
34.84,-120.94,-293.141483252173
34.86,-120.94,-293.366263403361
34.88,-120.94,-295.948075983459
34.9,-120.94,-301.243382726767
34.92,-120.94,-304.671484910311
34.94,-120.94,-308.173765478487
34.96,-120.94,-307.813487205656
34.98,-120.94,-306.191473906381
35,-120.94,-299.16524046192
32,-120.92,NA
32.02,-120.92,NA
32.04,-120.92,NA
32.06,-120.92,NA
32.08,-120.92,NA
32.1,-120.92,NA
32.12,-120.92,-3898.70439864341
32.14,-120.92,-3899.56886293287
32.16,-120.92,-3875.41680703025
32.18,-120.92,-3840.39450686205
32.2,-120.92,-3802.51751450972
32.22,-120.92,-3782.32361835808
32.24,-120.92,-3738.04933931559
32.26,-120.92,-3698.84735641004
32.28,-120.92,-3692
32.3,-120.92,-3690
32.32,-120.92,-3693.01015083946
32.34,-120.92,-3697.60396149766
32.36,-120.92,-3738.4451440253
32.38,-120.92,-3757.83335460687
32.4,-120.92,-3752.75825371344
32.42,-120.92,-3766.52861182675
32.44,-120.92,-3830.89280061504
32.46,-120.92,-3840.34870776043
32.48,-120.92,-3759.56033331833
32.5,-120.92,-3771.8675259067
32.52,-120.92,-3802.77620103256
32.54,-120.92,-3817.55524455991
32.56,-120.92,-3818.79900617439
32.58,-120.92,-3814.9551804656
32.6,-120.92,-3808.57768680658
32.62,-120.92,-3806.1177281062
32.64,-120.92,-3806
32.66,-120.92,-3805.78693889237
32.68,-120.92,-3805
32.7,-120.92,-3805
32.72,-120.92,-3804.86702487669
32.74,-120.92,-3803
32.76,-120.92,-3800
32.78,-120.92,-3799
32.8,-120.92,-3798
32.82,-120.92,-3791.9797977716
32.84,-120.92,-3775.03041730751
32.86,-120.92,-3733.25156607565
32.88,-120.92,-3695.08826102223
32.9,-120.92,-3688.37229816374
32.92,-120.92,-3613.77884176582
32.94,-120.92,-3069.03992023142
32.96,-120.92,-2893.58991662455
32.98,-120.92,-2537.50381937377
33,-120.92,-2713.80981360965
33.02,-120.92,-2492.59526092686
33.04,-120.92,-2337.04885393442
33.06,-120.92,-2202.60585894332
33.08,-120.92,-1994.54295854007
33.1,-120.92,-1684.86553975868
33.12,-120.92,-1709.98998121958
33.14,-120.92,-1611.27115874748
33.16,-120.92,-2030.20839467545
33.18,-120.92,-2062.11044554339
33.2,-120.92,-2273.52091264549
33.22,-120.92,-2294.9625553605
33.24,-120.92,-2488.45186654247
33.26,-120.92,-2898.1980701995
33.28,-120.92,-2668.27561707142
33.3,-120.92,-2984.14404038915
33.32,-120.92,-3107.35921878137
33.34,-120.92,-3302.8451694522
33.36,-120.92,-3440.01163061482
33.38,-120.92,-3500
33.4,-120.92,-3456.35034231227
33.42,-120.92,-3600.41824152713
33.44,-120.92,-3609.05034227069
33.46,-120.92,-3611.97598368243
33.48,-120.92,-3605.00150259622
33.5,-120.92,-3600
33.52,-120.92,-3598.95274423508
33.54,-120.92,-3600.05202123552
33.56,-120.92,-3598.26639547306
33.58,-120.92,-3599
33.6,-120.92,-3542.94760893613
33.62,-120.92,-3482.86651489333
33.64,-120.92,-3488.11737941107
33.66,-120.92,-3402.13109188
33.68,-120.92,-3099.6678811567
33.7,-120.92,-2755.96310720336
33.72,-120.92,-2573.59495133686
33.74,-120.92,-2498.21994085539
33.76,-120.92,-2294.06054137154
33.78,-120.92,-2189.50799274457
33.8,-120.92,-2108.00047587056
33.82,-120.92,-2324.22999516837
33.84,-120.92,-2525.3217409726
33.86,-120.92,-2486.02126099081
33.88,-120.92,-2423.68749243288
33.9,-120.92,-2373.43122909424
33.92,-120.92,-2291.98448059717
33.94,-120.92,-2189.12463659869
33.96,-120.92,-2132.23887813774
33.98,-120.92,-2091.77075462225
34,-120.92,-1974.89790868359
34.02,-120.92,-1725.85746377899
34.04,-120.92,-1619.9603025889
34.06,-120.92,-1470.17075894791
34.08,-120.92,-1227.14277064978
34.1,-120.92,-1021.47732668451
34.12,-120.92,-997.416844036691
34.14,-120.92,-1001.43549293809
34.16,-120.92,-967.385758803417
34.18,-120.92,-917.528103460413
34.2,-120.92,-902.090519417399
34.22,-120.92,-896.059808493826
34.24,-120.92,-900.767195523395
34.26,-120.92,-930.822525006154
34.28,-120.92,-954.310530053981
34.3,-120.92,-973.308475113727
34.32,-120.92,-980.817547167338
34.34,-120.92,-984.283522253563
34.36,-120.92,-990.948283023428
34.38,-120.92,-1008.42034433068
34.4,-120.92,-926.463378623464
34.42,-120.92,-879.701862725958
34.44,-120.92,-857.421306068198
34.46,-120.92,-819.922045478569
34.48,-120.92,-742.786348957938
34.5,-120.92,-680.668736181778
34.52,-120.92,-653.677418212177
34.54,-120.92,-596.570095688579
34.56,-120.92,-550.554679824614
34.58,-120.92,-562.047354844607
34.6,-120.92,-462.389879109613
34.62,-120.92,-419.066734114112
34.64,-120.92,-375.466596975148
34.66,-120.92,-347.968572861641
34.68,-120.92,-315.086426220851
34.7,-120.92,-292.027970149771
34.72,-120.92,-277.174654757525
34.74,-120.92,-267.370038702599
34.76,-120.92,-263.529378855795
34.78,-120.92,-262.953122830543
34.8,-120.92,-261.830078624587
34.82,-120.92,-260.251152981789
34.84,-120.92,-259.029477183165
34.86,-120.92,-258.360228344856
34.88,-120.92,-261.934122499814
34.9,-120.92,-264.508009305985
34.92,-120.92,-264.721179421914
34.94,-120.92,-267.069701318602
34.96,-120.92,-265.491536596055
34.98,-120.92,-261.803483957725
35,-120.92,-254.309346670024
32,-120.9,NA
32.02,-120.9,NA
32.04,-120.9,NA
32.06,-120.9,NA
32.08,-120.9,NA
32.1,-120.9,NA
32.12,-120.9,-3899
32.14,-120.9,-3893.77000891326
32.16,-120.9,-3858.66285850944
32.18,-120.9,-3829.96026784652
32.2,-120.9,-3807.66352513655
32.22,-120.9,-3771.55781057628
32.24,-120.9,-3713.79722359208
32.26,-120.9,-3695.29372314388
32.28,-120.9,-3693
32.3,-120.9,-3693.89202020753
32.32,-120.9,-3700.86971121664
32.34,-120.9,-3725.53844388463
32.36,-120.9,-3760.39950268417
32.38,-120.9,-3775.89197788194
32.4,-120.9,-3782.02907312832
32.42,-120.9,-3803.26686541546
32.44,-120.9,-3876.9424308794
32.46,-120.9,-3900.45975808061
32.48,-120.9,-3798.48483868419
32.5,-120.9,-3813.4409684605
32.52,-120.9,-3822.05640028489
32.54,-120.9,-3825.16055078536
32.56,-120.9,-3823
32.58,-120.9,-3818
32.6,-120.9,-3812.6474149629
32.62,-120.9,-3809
32.64,-120.9,-3807.91231323712
32.66,-120.9,-3807
32.68,-120.9,-3807
32.7,-120.9,-3806
32.72,-120.9,-3804
32.74,-120.9,-3801
32.76,-120.9,-3800
32.78,-120.9,-3797.57993532285
32.8,-120.9,-3797
32.82,-120.9,-3792.65103348415
32.84,-120.9,-3780.89928791256
32.86,-120.9,-3748.87242301096
32.88,-120.9,-3712.25737560931
32.9,-120.9,-3709.42252054897
32.92,-120.9,-3650.61680669477
32.94,-120.9,-3484.55541761044
32.96,-120.9,-3178.17174501302
32.98,-120.9,-3015.81314784907
33,-120.9,-2894.05670965797
33.02,-120.9,-2793.05505563444
33.04,-120.9,-2681.0094745413
33.06,-120.9,-2496.17269552682
33.08,-120.9,-2343.66191161595
33.1,-120.9,-2246.86534935649
33.12,-120.9,-2135.94584879531
33.14,-120.9,-2155.63801094746
33.16,-120.9,-2288.18410345407
33.18,-120.9,-2280.67144760613
33.2,-120.9,-2371.00490906809
33.22,-120.9,-2367.35123007047
33.24,-120.9,-2490.7338106504
33.26,-120.9,-2941.3343393094
33.28,-120.9,-2887.24934959912
33.3,-120.9,-3040.48858129916
33.32,-120.9,-3178.31142027092
33.34,-120.9,-3287.00473400265
33.36,-120.9,-3303.08508734741
33.38,-120.9,-3477.2776479432
33.4,-120.9,-3498.65383977354
